mode;car_cost;car_time;car_ok;pass_cost;pass_time;pass_ok;bus_cost;bus_g_time;bus_w_time;bus_time;bus_ok;train_cost;train_g_time;train_w_time;train_time;train_ok;walk_time;walk_ok;bike_time;bike_ok;id
1;42.66;58.01;1;42.66;58.01;1;0;0;0;0;0;0;0;0;0;0;0;0;269.56;1;1
1;57.04;33.28;1;57.04;33.28;1;0;0;0;0;0;0;0;0;0;0;372.26;1;181.07;1;2
2;8.28;21.56;1;8.28;21.56;1;0;0;0;0;0;0;0;0;0;0;109.71;1;49.67;1;3
1;7.15;9.98;1;7.15;9.98;1;0;0;0;0;0;0;0;0;0;0;80.92;1;39.39;1;4
1;23.53;89.12;1;23.53;89.12;1;20.61;33.69;46.98;114.15;1;20.43;41.25;33.92;105.15;1;0;0;207.26;1;5
1;33.57;36.4;1;33.57;36.4;1;107.58;71.83;60.69;52.9;1;0;0;0;0;0;0;0;201.58;1;6
1;11.37;24.89;1;11.37;24.89;1;0;0;0;0;0;0;0;0;0;0;75.14;1;35.06;1;7
3;26.77;26.2;1;26.77;26.2;1;30.29;43.39;75.31;56.89;1;0;0;0;0;0;179.65;1;83.46;1;8
1;24.59;41.15;1;24.59;41.15;1;60.24;81.55;47.65;58.76;1;59.07;71.12;339.01;50.95;1;492.46;1;217.36;1;9
1;3.72;16.7;1;3.72;16.7;1;20.08;31.27;14.99;20.23;1;0;0;0;0;0;49.76;1;23.76;1;10
1;3.65;6.85;1;3.65;6.85;1;2.9;18.77;8.74;25.78;1;0;0;0;0;0;24.7;1;11.4;1;11
1;2.25;5.46;1;2.25;5.46;1;0;0;0;0;0;0;0;0;0;0;38.65;1;17.19;1;12
1;41.8;40.85;1;41.8;40.85;1;18.07;102.97;58.1;50.23;1;0;0;0;0;0;308.2;1;142.58;1;13
1;6.28;15.26;1;6.28;15.26;1;19.79;18.34;25.49;21.85;1;0;0;0;0;0;41.49;1;19.44;1;14
6;9.18;17.89;1;9.18;17.89;1;0;0;0;0;0;0;0;0;0;0;55.01;1;25.32;1;15
1;3.35;15.36;1;3.35;15.36;1;0;0;0;0;0;0;0;0;0;0;68.35;1;32.13;1;16
1;62.84;61.39;1;62.84;61.39;1;19.85;20.9;23.48;86.93;1;0;0;0;0;0;511.44;1;234.46;1;17
2;27.43;56.66;1;27.43;56.66;1;71.73;86.97;52.7;125.2;1;0;0;0;0;0;0;0;327.97;1;18
4;171.07;126.64;1;171.07;126.64;1;48.13;93.87;266.07;290.2;1;49.24;98.89;235.99;169.37;1;0;0;543.62;1;19
6;6.9;17.96;1;6.9;17.96;1;0;0;0;0;0;0;0;0;0;0;41.17;1;20.21;1;20
1;8.46;10.35;1;8.46;10.35;1;40.49;53.44;41.49;7.4;1;0;0;0;0;0;108.47;1;51.59;1;21
1;12.61;9.32;1;12.61;9.32;1;24.5;43.88;20.2;12.21;1;0;0;0;0;0;83.89;1;41.09;1;22
2;15.13;34.4;1;15.13;34.4;1;35.24;17.69;30.13;41.82;1;0;0;0;0;0;290.15;1;127.4;1;23
2;6.31;20.55;1;6.31;20.55;1;19.2;18.09;27.16;24.03;1;0;0;0;0;0;75.08;1;34.74;1;24
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.2;1;2.95;1;25
1;16.42;16.31;1;16.42;16.31;1;18.7;54.97;57.16;34.7;1;0;0;0;0;0;104.38;1;50.86;1;26
1;2.32;6.86;1;2.32;6.86;1;0;0;0;0;0;0;0;0;0;0;54.46;1;26.68;1;27
2;19.6;24.13;1;19.6;24.13;1;0;0;0;0;0;53.99;30.65;214.18;121.45;1;257.64;1;120.69;1;28
3;1.63;7.87;1;1.63;7.87;1;4.5;12.13;3.79;1.52;1;0;0;0;0;0;7.7;1;4.06;1;29
1;63.42;69.06;1;63.42;69.06;1;19.64;14.62;32.15;93.04;1;0;0;0;0;0;521.01;1;245.75;1;30
6;2.15;14.71;1;2.15;14.71;1;0;0;0;0;0;0;0;0;0;0;27.07;1;12.06;1;31
1;1.45;1.77;1;1.45;1.77;1;15.47;12.24;6.72;0.17;1;0;0;0;0;0;8.29;1;3.95;1;32
1;2.19;13.13;1;2.19;13.13;1;21.08;13.24;8.07;3.81;1;0;0;0;0;0;25.95;1;13.25;1;33
1;3.97;11.89;1;3.97;11.89;1;20.11;12.82;22.3;4.19;1;0;0;0;0;0;21.14;1;9.56;1;34
6;4.61;14.08;1;4.61;14.08;1;14.8;6.94;5.84;6.91;1;0;0;0;0;0;30.13;1;14.37;1;35
6;4.89;7.17;1;4.89;7.17;1;0;0;0;0;0;0;0;0;0;0;50.93;1;25.56;1;36
1;34.4;22.88;1;34.4;22.88;1;30.85;117.8;56.72;31.65;1;0;0;0;0;0;220.29;1;102.8;1;37
1;13.68;9.01;1;13.68;9.01;1;0;0;0;0;0;0;0;0;0;0;87.41;1;40.05;1;38
6;3.14;3.58;1;3.14;3.58;1;19.62;12.32;15.1;6.17;1;0;0;0;0;0;20.62;1;9.85;1;39
6;14.95;11;1;14.95;11;1;0;0;0;0;0;0;0;0;0;0;88.76;1;44.74;1;40
1;16.86;25.82;1;16.86;25.82;1;40.61;22.53;37.2;81.59;1;39.25;24.53;35.02;77.43;1;224.38;1;101.44;1;41
1;22.46;21.58;1;22.46;21.58;1;32.26;18.46;20.38;42.77;1;0;0;0;0;0;147.48;1;72.71;1;42
3;10.71;48.47;1;10.71;48.47;1;19.62;29.51;8;36.45;1;0;0;0;0;0;143.36;1;67.55;1;43
6;14.15;23.59;1;14.15;23.59;1;24.69;43.87;12.17;26.33;1;0;0;0;0;0;85.75;1;40.88;1;44
3;6.46;19.55;1;6.46;19.55;1;20.17;10.31;3.55;13.37;1;0;0;0;0;0;42.7;1;20.44;1;45
1;9.35;7.3;1;9.35;7.3;1;0;0;0;0;0;0;0;0;0;0;57.4;1;27.06;1;46
1;64.24;74.71;1;64.24;74.71;1;29.9;130.3;67.51;129.99;1;0;0;0;0;0;722.87;1;335.29;1;47
1;15.88;39.97;1;15.88;39.97;1;46.01;94.62;37.09;130.19;1;44.28;107.7;33.44;97.31;1;407.41;1;193.58;1;48
2;4.11;14.07;1;4.11;14.07;1;19.27;22.38;10.84;28.07;1;0;0;0;0;0;90.55;1;42.04;1;49
1;31.61;20.97;1;31.61;20.97;1;18.46;202.33;18.71;16.3;1;0;0;0;0;0;214.83;1;102.14;1;50
6;4.45;12.6;1;4.45;12.6;1;0;0;0;0;0;0;0;0;0;0;28.51;1;13.22;1;51
1;36.91;21.62;1;36.91;21.62;1;14.3;32.19;72.51;43.03;1;0;0;0;0;0;251.79;1;119;1;52
1;78.06;93.05;1;78.06;93.05;1;0;0;0;0;0;0;0;0;0;0;516.93;1;243.3;1;53
1;26.35;16.29;1;26.35;16.29;1;16.33;37.75;93.98;26.38;1;0;0;0;0;0;171.32;1;82.4;1;54
1;8.45;7.57;1;8.45;7.57;1;0;0;0;0;0;0;0;0;0;0;52.2;1;25.29;1;55
1;7.27;21.25;1;7.27;21.25;1;0;0;0;0;0;0;0;0;0;0;131.33;1;60.9;1;56
6;2.38;1.41;1;2.38;1.41;1;0;0;0;0;0;0;0;0;0;0;11.98;1;6.29;1;57
